first_name	last_name	city	county	state	zip
James	Butt	New Orleans	Orleans	LA	70116
Josephine	Darakjy	Brighton	Livingston	MI	48116
Art	Venere	Bridgeport	Gloucester	NJ	8014
Lenna	Paprocki	Anchorage	Anchorage	AK	99501
Donette	Foller	Hamilton	Butler	OH	45011
Simona	Morasca	Ashland	Ashland	OH	44805
Mitsue	Tollner	Chicago	Cook	IL	60632
Leota	Dilliard	San Jose	Santa Clara	CA	95111
Sage	Wieser	Sioux Falls	Minnehaha	SD	57105
Kris	Marrier	Baltimore	Baltimore City	MD	21224
Minna	Amigon	Kulpsville	Montgomery	PA	19443
Abel	Maclead	Middle Island	Suffolk	NY	11953
Kiley	Caldarera	Los Angeles	Los Angeles	CA	90034
Graciela	Ruta	Chagrin Falls	Geauga	OH	44023
Cammy	Albares	Laredo	Webb	TX	78045
Mattie	Poquette	Phoenix	Maricopa	AZ	85013
Meaghan	Garufi	Mc Minnville	Warren	TN	37110
Gladys	Rim	Milwaukee	Milwaukee	WI	53207
Yuki	Whobrey	Taylor	Wayne	MI	48180
Fletcher	Flosi	Rockford	Winnebago	IL	61109
Bette	Nicka	Aston	Delaware	PA	19014
Veronika	Inouye	San Jose	Santa Clara	CA	95111
Willard	Kolmetz	Irving	Dallas	TX	75062
Maryann	Royster	Albany	Albany	NY	12204
Alisha	Slusarski	Middlesex	Middlesex	NJ	8846
Allene	Iturbide	Stevens Point	Portage	WI	54481
Chanel	Caudy	Shawnee	Johnson	KS	66218
Ezekiel	Chui	Easton	Talbot	MD	21601
Willow	Kusko	New York	New York	NY	10011
Bernardo	Figeroa	Conroe	Montgomery	TX	77301
Ammie	Corrio	Columbus	Franklin	OH	43215
Francine	Vocelka	Las Cruces	Dona Ana	NM	88011
Ernie	Stenseth	Ridgefield Park	Bergen	NJ	7660
Albina	Glick	Dunellen	Middlesex	NJ	8812
Alishia	Sergi	New York	New York	NY	10025
Solange	Shinko	Metairie	Jefferson	LA	70002
Jose	Stockham	New York	New York	NY	10011
Rozella	Ostrosky	Camarillo	Ventura	CA	93012
Valentine	Gillian	San Antonio	Bexar	TX	78204
Kati	Rulapaugh	Abilene	Dickinson	KS	67410
Youlanda	Schemmer	Prineville	Crook	OR	97754
Dyan	Oldroyd	Overland Park	Johnson	KS	66204
Roxane	Campain	Fairbanks	Fairbanks North Star	AK	99708
